,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,,Octubre,Noviembre,Diciembre,
Aguascalientes,86,57,128,94,152,131,92,150,165,,96,106,69,1 326
Baja California,154,167,173,128,150,181,119,179,127,,155,149,87,1 769
Baja California Sur,49,36,54,55,43,61,49,80,47,,36,52,35,597
Campeche,50,56,78,61,72,92,35,43,37,,53,64,41,682
Coahuila,186,207,274,286,253,327,263,336,258,,239,228,140,2 997
Colima,55,59,69,67,64,59,59,59,39,,52,48,45,675
Chiapas,122,137,194,157,143,208,173,159,127,,143,190,97,1 850
Chihuahua,151,210,203,174,193,342,253,313,165,,150,206,129,2 489
Distrito Federal,1 003,1 068,1 316,1 221,1 150,1 497,1 081,1 338,1 127,,1 132,1 265,851,14 049
Durango,157,200,258,187,225,334,241,294,224,,227,227,141,2 715
Guanajuato,316,399,532,457,502,536,496,542,460,,434,472,315,5 461
Guerrero,150,253,277,205,222,270,211,274,209,,196,214,128,2 609
Hidalgo,229,262,374,321,355,358,299,376,279,,296,328,217,3 694
Jalisco,517,512,793,594,498,708,617,707,507,,469,581,406,6 909
M‚xico,1 136,1 158,1 607,1 444,1 269,1 635,1 357,1 582,1 268,,1 161,1 458,799,15 874
Michoac n,281,290,436,325,368,403,280,391,257,,227,307,209,3 774
Morelos,111,142,195,153,147,201,134,171,125,,122,136,101,1 738
Nayarit,58,73,102,72,48,92,83,79,70,,45,75,55,852
Nuevo Le¢n,269,376,503,449,441,561,467,570,400,,396,430,243,5 105
Oaxaca,292,278,430,298,268,340,266,376,284,,288,358,253,3 731
Puebla,412,437,632,558,531,624,412,594,455,,505,524,347,6 031
Quer‚taro,106,119,162,165,144,192,143,166,144,,160,185,115,1 801
Quintana Roo,103,152,177,157,142,177,146,152,131,,119,128,113,1 697
San Luis Potos¡,288,277,463,397,403,438,334,478,330,,379,407,248,4 442
Sinaloa,98,144,226,169,171,261,182,246,161,,143,142,115,2 058
Sonora,198,237,307,304,230,362,248,311,258,,180,182,154,2 971
Tabasco,60,74,97,97,77,84,73,81,69,,54,69,24,859
Tamaulipas,171,210,355,298,336,383,293,297,225,,226,233,153,3 180
Tlaxcala,59,72,114,84,84,111,86,96,82,,75,80,52,995
Veracruz,333,422,473,460,439,557,365,438,349,,278,356,224,4 694
Yucat n,199,185,318,230,231,261,231,203,158,,190,211,183,2 600
Zacatecas,71,108,160,92,97,153,114,137,99,,75,117,82,1 305
