Estado,Ene,Feb,M ar,Abr,M ay,Jun,Jul,Ago,Sep,Oct,Nov,D ic
Aguascalientes,102,79,76,85,101,97,115,85,72,78,53,38
Baja California,106,128,108,83,123,114,111,117,96,109,80,78
Baja California Sur,48,43,49,52,62,65,66,64,51,47,41,41
Campeche,49,57,56,88,58,65,61,43,50,52,41,59
Coahuila,200,200,203,184,297,242,227,109,153,162,110,100
Colima,37,30,41,36,59,57,73,54,39,58,38,49
Chiapas,165,151,152,191,200,161,199,125,142,156,121,74
Chihuahua,245,206,207,204,321,260,269,220,197,209,139,140
Distrito Federal,987,867,865,986,1 280,943,1 278,980,965,1 133,831,802
Durango,171,155,139,164,199,222,240,171,145,246,181,121
Guanajuato,490,414,416,462,608,518,622,539,410,489,378,325
Guerrero,159,142,159,188,243,206,201,157,166,259,178,123
H idalgo,297,296,308,315,389,344,393,270,272,316,260,172
Jalisco,454,443,425,424,551,454,753,604,511,550,382,470
M ‚xico,1 448,1 300,1 209,1 399,1 749,1 391,1 855,1 326,1 297,1 458,993,878
M ichoac n,361,348,304,368,488,390,483,372,356,422,331,290
M orelos,98,104,99,101,139,103,105,106,129,107,87,82
Nayarit,99,88,55,79,107,65,95,100,78,97,83,54
Nuevo L e¢n,280,259,281,304,431,373,441,320,294,350,240,200
Oaxaca,367,318,291,360,395,310,383,303,331,401,304,264
Puebla,399,439,388,444,556,490,497,349,460,506,353,335
Quer‚taro,98,97,117,114,155,125,153,138,136,138,105,98
Quintana Roo,187,145,114,165,154,146,184,140,129,159,142,126
San Luis Potos¡,305,302,319,315,452,343,353,290,311,377,283,240
Sinaloa,144,110,117,143,166,170,212,128,144,172,75,122
Sonora,247,221,241,276,395,319,348,274,231,260,205,175
T abasco,67,67,57,66,102,69,75,74,65,84,65,36
T amaulipas,278,241,205,236,385,282,299,198,188,231,172,144
Tlaxcala,77,64,79,76,93,62,106,81,99,98,79,61
Veracruz,596,460,445,510,647,556,671,502,421,542,447,354
Yucat n,173,174,159,211,213,240,218,176,182,253,155,182
Z acatecas,73,83,100,120,149,136,145,90,96,125,109,118
