Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,6,153,214,185,142,95,322,59,59,41,50,0,1 326
Baja California,5,154,217,201,131,113,420,119,206,59,143,1,1 769
Baja California Sur,3,42,81,73,41,43,137,32,71,23,50,1,597
Campeche,3,47,62,85,47,55,189,44,68,27,55,0,682
Coahuila,7,261,573,456,282,206,599,119,232,86,166,10,2 997
Colima,0,52,94,85,49,65,167,35,63,22,43,0,675
Chiapas,0,140,259,244,175,173,426,82,157,58,133,3,1 850
Chihuahua,9,219,408,321,171,164,517,137,237,80,226,0,2 489
Distrito Federal,30,1 066,1 735,1 524,1 416,1 268,3 389,781,1 343,497,993,7,14 049
Durango,4,235,472,399,282,232,547,157,178,79,130,0,2 715
Guanajuato,9,517,974,678,471,380,1 227,259,363,162,421,0,5 461
Guerrero,3,189,473,362,207,192,501,97,227,107,250,1,2 609
Hidalgo,2,261,492,433,319,275,862,210,332,167,341,0,3 694
Jalisco,17,720,1 156,838,532,507,1 541,346,507,216,528,1,6 909
M‚xico,26,1 227,2 155,1 981,1 669,1 411,3 697,869,1 334,507,987,11,15 874
Michoac n,15,345,597,456,330,298,841,164,288,140,299,1,3 774
Morelos,3,143,219,230,156,145,383,83,158,66,150,2,1 738
Nayarit,1,100,153,106,66,65,170,31,65,29,65,1,852
Nuevo Le¢n,14,421,766,664,400,343,1 177,303,476,161,363,17,5 105
Oaxaca,6,259,453,429,297,285,801,212,353,174,459,3,3 731
Puebla,9,395,732,734,617,512,1 398,345,565,232,490,2,6 031
Quer‚taro,8,160,263,200,185,138,429,107,141,49,121,0,1 801
Quintana Roo,2,111,242,213,164,157,469,88,143,35,73,0,1 697
San Luis Potos¡,10,367,656,549,433,315,946,241,373,159,393,0,4 442
Sinaloa,8,196,351,298,199,185,376,101,142,64,137,1,2 058
Sonora,11,311,563,387,291,208,565,153,233,96,151,2,2 971
Tabasco,2,41,104,106,67,60,219,56,106,29,65,4,859
Tamaulipas,13,246,436,420,276,218,718,187,289,133,243,1,3 180
Tlaxcala,0,77,128,132,96,79,224,52,79,29,99,0,995
Veracruz,5,326,605,601,414,276,973,245,486,238,524,1,4 694
Yucat n,11,240,345,284,221,212,598,164,230,98,196,1,2 600
Zacatecas,3,132,271,202,89,78,237,68,85,34,105,1,1 305
